127id,latitude,longitude,connection_order
6,52.552,22.492,54
6,52.617,22.035,55
6,52.696,21.584,56
6,52.792,21.14,57
6,52.903,20.705,58
6,53.028,20.281,59
6,53.168,19.867,60
6,53.322,19.466,61
6,53.49,19.079,62
6,53.67,18.708,63
6,53.864,18.354,64
6,54.069,18.017,65
6,54.285,17.7,66
6,54.512,17.404,67
6,54.749,17.129,68
6,54.994,16.878,69
6,55.248,16.652,70
6,55.51,16.451,71
6,55.777,16.278,72
6,56.05,16.133,73
6,56.328,16.017,74
6,56.609,15.931,75
6,56.893,15.877,76
6,57.178,15.855,77
6,57.463,15.867,78
6,57.747,15.912,79
6,58.028,15.992,80
6,58.307,16.107,81
6,58.581,16.257,82
6,58.849,16.443,83
6,59.11,16.664,84
6,59.363,16.921,85
6,59.607,17.212,86
6,59.84,17.538,87
6,60.061,17.897,88
6,60.27,18.288,89
6,60.464,18.709,90
6,60.643,19.16,91
6,60.807,19.638,92
6,60.953,20.14,93
6,61.082,20.665,94
6,61.192,21.21,95
6,61.283,21.771,96
6,61.354,22.346,97
6,61.405,22.932,98
6,61.436,23.524,99
6,61.447,24.12,100
7,61.807,25.21,1
7,61.796,25.813,2
7,61.765,26.412,3
7,61.714,27.004,4
7,61.642,27.586,5
7,61.551,28.154,6
7,61.441,28.704,7
7,61.312,29.235,8
7,61.165,29.743,9
7,61.002,30.226,10
7,60.822,30.681,11
7,60.628,31.107,12
7,60.419,31.502,13
7,60.198,31.864,14
7,59.964,32.193,15
7,59.721,32.486,16
7,59.467,32.745,17
7,59.206,32.968,18
7,58.937,33.155,19
7,58.663,33.305,20
7,58.385,33.421,21
7,58.103,33.5,22
7,57.819,33.545,23
7,57.534,33.556,24
7,57.249,33.533,25
7,56.966,33.478,26
7,56.685,33.39,27
7,56.407,33.273,28
7,56.134,33.125,29
7,55.866,32.949,30
7,55.605,32.746,31
7,55.352,32.517,32
7,55.106,32.263,33
7,54.869,31.986,34
7,54.643,31.687,35
7,54.427,31.366,36
7,54.222,31.027,37
7,54.029,30.669,38
7,53.848,30.294,39
7,53.681,29.903,40
7,53.527,29.499,41
7,53.387,29.082,42
7,53.262,28.653,43
7,53.151,28.214,44
7,53.056,27.767,45
7,52.976,27.312,46
7,52.912,26.851,47
7,52.864,26.386,48
7,52.832,25.917,49
7,52.815,25.446,50
7,52.815,24.974,51
7,52.832,24.503,52
7,52.864,24.034,53
7,52.912,23.569,54
7,52.976,23.108,55
7,53.056,22.653,56
7,53.151,22.206,57
7,53.262,21.767,58
7,53.387,21.338,59
7,53.527,20.921,60
7,53.681,20.517,61
7,53.848,20.126,62
7,54.029,19.751,63
7,54.222,19.393,64
7,54.427,19.054,65
7,54.643,18.733,66
7,54.869,18.434,67
7,55.106,18.157,68
7,55.352,17.903,69
7,55.605,17.674,70
7,55.866,17.471,71
7,56.134,17.295,72
7,56.407,17.147,73
7,56.685,17.03,74
7,56.966,16.942,75
7,57.249,16.887,76
7,57.534,16.864,77
7,57.819,16.875,78
7,58.103,16.92,79
7,58.385,16.999,80
7,58.663,17.115,81
7,58.937,17.265,82
7,59.206,17.452,83
7,59.467,17.675,84
7,59.721,17.934,85
7,59.964,18.227,86
7,60.198,18.556,87
7,60.419,18.918,88
7,60.628,19.313,89
7,60.822,19.739,90
7,61.002,20.194,91
7,61.165,20.677,92
7,61.312,21.185,93
7,61.441,21.716,94
7,61.551,22.266,95
7,61.642,22.834,96
7,61.714,23.416,97
7,61.765,24.008,98
7,61.796,24.607,99
7,61.807,25.21,100
8,60.387,26.54,1
8,60.376,27.116,2
8,60.346,27.689,3
8,60.295,28.256,4
8,60.224,28.812,5
8,60.133,29.356,6
8,60.023,29.883,7
8,59.895,30.392,8
8,59.75,30.879,9
8,59.587,31.343,10
8,59.409,31.781,11
8,59.215,32.191,12
8,59.007,32.571,13
8,58.787,32.921,14
8,58.554,33.238,15
8,58.311,33.523,16
8,58.059,33.774,17
8,57.798,33.991,18
8,57.531,34.174,19
8,57.257,34.322,20
8,56.979,34.436,21
8,56.697,34.516,22
8,56.413,34.563,23
8,56.128,34.576,24
8,55.843,34.558,25
8,55.56,34.507,26
8,55.278,34.426,27
8,55,34.316,28
8,54.727,34.176,29
8,54.459,34.009,30
8,54.197,33.816,31
8,53.943,33.597,32
8,53.696,33.354,33
8,53.459,33.088,34
8,53.232,32.8,35
8,53.015,32.492,36
8,52.809,32.165,37
8,52.615,31.82,38
8,52.434,31.459,39
8,52.265,31.082,40
8,52.111,30.691,41
8,51.97,30.288,42
8,51.844,29.874,43
8,51.733,29.449,44
8,51.638,29.016,45
8,51.557,28.576,46
8,51.493,28.13,47
8,51.444,27.679,48
8,51.412,27.225,49
8,51.395,26.768,50
8,51.395,26.312,51
8,51.412,25.855,52
8,51.444,25.401,53
8,51.493,24.95,54
8,51.557,24.504,55
8,51.638,24.064,56
8,51.733,23.631,57
8,51.844,23.206,58
8,51.97,22.792,59
8,52.111,22.389,60
8,52.265,21.998,61
8,52.434,21.621,62
8,52.615,21.26,63
8,52.809,20.915,64
8,53.015,20.588,65
8,53.232,20.28,66
8,53.459,19.992,67
8,53.696,19.726,68
8,53.943,19.483,69
8,54.197,19.264,70
8,54.459,19.071,71
8,54.727,18.904,72
8,55,18.764,73
8,55.278,18.654,74
8,55.56,18.573,75
8,55.843,18.522,76
8,56.128,18.504,77
8,56.413,18.517,78
8,56.697,18.564,79
8,56.979,18.644,80
8,57.257,18.758,81
8,57.531,18.906,82
8,57.798,19.089,83
8,58.059,19.306,84
8,58.311,19.557,85
8,58.554,19.842,86
8,58.787,20.159,87
8,59.007,20.509,88
8,59.215,20.889,89
8,59.409,21.299,90
8,59.587,21.737,91
8,59.75,22.201,92
8,59.895,22.688,93
8,60.023,23.197,94
8,60.133,23.724,95
8,60.224,24.268,96
8,60.295,24.824,97
8,60.346,25.391,98
8,60.376,25.964,99
8,60.387,26.54,100
9,49.627,20.27,1
9,49.617,20.71,2
9,49.587,21.147,3
9,49.538,21.58,4
9,49.47,22.006,5
9,49.383,22.424,6
9,49.277,22.83,7
9,49.154,23.223,8
9,49.013,23.602,9
9,48.856,23.964,10
9,48.683,24.307,11
9,48.495,24.631,12
9,48.293,24.934,13
9,48.078,25.215,14
9,47.851,25.473,15
9,47.613,25.706,16
9,47.366,25.915,17
9,47.109,26.098,18
9,46.845,26.255,19
9,46.574,26.386,20
9,46.299,26.491,21
9,46.019,26.569,22
9,45.736,26.621,23
9,45.452,26.647,24
9,45.167,26.647,25
9,44.882,26.622,26
9,44.599,26.572,27
9,44.319,26.497,28
9,44.043,26.398,29
9,43.772,26.277,30
9,43.507,26.133,31
9,43.248,25.968,32
9,42.997,25.781,33
